,fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion
228,2018-06-01,Talavan,3.0,Hypertrophic,8.198271751403809,5.418915748596191,5.663547039031982,3.4618618488311768,3.865766286849976,
229,2018-06-01,Talavan,4.0,Hypertrophic,9.333779335021973,4.682910919189453,6.243880748748779,0.0,3.4618618488311768,
230,2018-06-01,Talavan,5.0,Hypertrophic,9.333779335021973,5.323176860809326,6.653616428375244,0.0,3.4618618488311768,
231,2018-06-01,Talavan,6.0,Hypertrophic,9.355180740356444,4.659867763519287,6.989505767822266,0.0,3.4618618488311768,
232,2018-06-01,Talavan,7.0,Hypertrophic,9.355180740356444,5.149171352386475,7.208537578582764,0.0,3.4618618488311768,
233,2018-06-01,Talavan,8.0,Hypertrophic,10.151586532592772,4.543139934539795,7.268759250640869,0.0,3.4618618488311768,
234,2018-06-01,Talavan,9.0,Hypertrophic,10.151586532592772,4.912488460540772,7.36848783493042,0.0,3.4618618488311768,
235,2018-06-01,Talavan,10.0,Hypertrophic,10.151586532592772,4.476870059967041,7.46122932434082,0.0,3.4618618488311768,
236,2018-06-01,Talavan,11.0,Hypertrophic,10.151586532592772,4.730339527130127,7.433074474334717,0.0,1.863417148590088,
237,2018-06-01,Talavan,12.0,Hypertrophic,11.293383598327637,4.3119330406188965,7.391594886779785,0.0,1.3039343357086182,
238,2018-06-01,Talavan,13.0,Hypertrophic,11.293383598327637,4.549427509307861,7.392581462860107,0.0,1.3039343357086182,
239,2018-06-01,Talavan,14.0,Hypertrophic,11.293383598327637,4.223750114440918,7.391341209411621,0.0,1.3039343357086182,
240,2018-06-01,Talavan,15.0,Hypertrophic,11.293383598327637,4.147350311279297,7.405507564544678,0.0,0.1492074280977249,
241,2018-06-01,Talavan,16.0,Hypertrophic,11.293383598327637,3.8908419609069824,3.8908419609069824,0.0,0.0,
242,2018-06-01,Talavan,17.0,Hypertrophic,11.293383598327637,3.847205638885498,3.847205638885498,0.0,0.0,
243,2018-06-01,Talavan,18.0,Hypertrophic,11.293383598327637,3.6490015983581534,3.6490015983581534,0.0,0.0,
244,2018-06-01,Talavan,19.0,Hypertrophic,11.293383598327637,3.6307718753814697,3.6307718753814697,0.0,0.0,
245,2018-06-01,Talavan,20.0,Hypertrophic,11.293383598327637,3.459834098815918,3.459834098815918,0.0,0.0,
246,2018-06-01,Tres Torres,,Hypertrophic,,,,,,
247,2018-06-01,la Pesga,,Eutrophic,,,,,,
248,2018-11-01,Acebo,,Mesotrophic,,,,,,
249,2018-11-01,Aguijon,,Hypertrophic,,,,,,
250,2018-11-01,Alcuescar,,Hypertrophic,,,,,,
251,2018-11-01,Aldea del Cano,,Hypertrophic,,,,,,
252,2018-11-01,Aliseda,,Eutrophic,,,,,,
253,2018-11-01,Alpotrel,,Eutrophic,,,,,,
254,2018-11-01,Arrocerezal,,Eutrophic,,,,,,
255,2018-11-01,Brozas,,Hypertrophic,,,,,,
256,2018-11-01,Burguillos del Cerro,,Hypertrophic,,,,,,
257,2018-11-01,Cantalgallo,,Eutrophic,,,,,,
258,2018-11-01,Carrascalejo,,Eutrophic,,,,,,
259,2018-11-01,El Santo,,Hypertrophic,,,,,,
260,2018-11-01,Garciaz,,Eutrophic,,,,,,
261,2018-11-01,Garganta del Obispo,,Hypertrophic,,,,,,
262,2018-11-01,Guadalupe,,Eutrophic,,,,,,
263,2018-11-01,Hervas,,Eutrophic,,,,,,
264,2018-11-01,Jaime Ozores,,Hypertrophic,,,,,,39.0
265,2018-11-01,Jaime Ozores,1.0,Hypertrophic,0.1366196125745773,0.1366196125745773,,0.1366196125745773,,
266,2018-11-01,Jaime Ozores,2.0,Hypertrophic,0.1942156702280044,0.1360344290733337,0.1725861877202987,0.0263791996985673,0.1366196125745773,
267,2018-11-01,Jaime Ozores,3.0,Hypertrophic,0.2667791843414306,0.1226305812597274,0.1679171919822693,0.0263791996985673,0.0559568777680397,
268,2018-11-01,Jaime Ozores,4.0,Hypertrophic,0.2667791843414306,0.1052455306053161,0.1201522350311279,0.0007103070383891,0.0263791996985673,
269,2018-11-01,Jaime Ozores,5.0,Hypertrophic,0.5893157124519348,0.1095937341451644,0.1095937341451644,0.0007103070383891,0.0007103070383891,
270,2018-11-01,Jaime Ozores,6.0,Hypertrophic,0.5893157124519348,0.0897808521986007,0.0897808521986007,0.0007103070383891,0.0007103070383891,
271,2018-11-01,Jaime Ozores,7.0,Hypertrophic,0.5893157124519348,0.0858652144670486,0.0858652144670486,0.0007103070383891,0.0007103070383891,
272,2018-11-01,Jaime Ozores,8.0,Hypertrophic,0.5893157124519348,0.0844660103321075,0.0844660103321075,0.0,0.0,
273,2018-11-01,Jaime Ozores,9.0,Hypertrophic,31.54043197631836,0.4882936775684356,0.4882936775684356,0.0,0.0,
274,2018-11-01,Jaime Ozores,10.0,Hypertrophic,31.54043197631836,0.4107997417449951,0.4107997417449951,0.0,0.0,
275,2018-11-01,Jaime Ozores,11.0,Hypertrophic,31.54043197631836,0.3647617697715759,0.3647617697715759,0.0,0.0,
276,2018-11-01,Jaime Ozores,12.0,Hypertrophic,31.54043197631836,0.3428646624088287,0.3428646624088287,0.0,0.0,
277,2018-11-01,Jaime Ozores,13.0,Hypertrophic,31.54043197631836,0.3490655124187469,0.3490655124187469,0.0,0.0,
