,Embalse,Tipo,Año,Estación,Concentración
432,Acebo,C2RCC,2017,v,1.3386892080307007
433,Acebo,C2X,2017,v,3.2091639041900635
434,Acebo,C2XC,2017,v,12.995726585388184
435,Acebo,C2RCC,2022,o,1.505902886390686
436,Acebo,C2X,2022,o,5.528172969818115
437,Acebo,C2XC,2022,o,31.33470344543457
438,Aguijon,C2RCC,2020,o,0.0
439,Aguijon,C2X,2020,o,0.0
440,Aguijon,C2XC,2020,o,0.0
441,Aguijon,C2RCC,2021,o,3.4456896781921387
442,Aguijon,C2X,2021,o,60.91061782836914
443,Aguijon,C2XC,2021,o,278.2020263671875
444,Aguijon,C2RCC,2022,o,6.963075160980225
445,Aguijon,C2X,2022,o,148.8915252685547
446,Aguijon,C2XC,2022,o,1187.5819091796875
447,Aguijon,C2RCC,2022,v,0.9880107641220093
448,Aguijon,C2X,2022,v,15.990415573120117
449,Aguijon,C2XC,2022,v,139.96607971191406
450,Alcuescar,C2RCC,2021,o,0.28171420097351074
451,Alcuescar,C2X,2021,o,26.545072555541992
452,Alcuescar,C2XC,2021,o,106.57090759277344
453,Alcuescar,C2RCC,2021,v,1.2209820747375488
454,Alcuescar,C2X,2021,v,31.399911880493164
455,Alcuescar,C2XC,2021,v,84.51312255859375
456,Aldea del Cano,C2RCC,2021,o,1.7639613151550293
457,Aldea del Cano,C2X,2021,o,5.447904109954834
458,Aldea del Cano,C2XC,2021,o,37.15081787109375
459,Aldea del Cano,C2RCC,2021,v,13.719853401184082
460,Aldea del Cano,C2X,2021,v,164.31427001953125
461,Aldea del Cano,C2XC,2021,v,447.119140625
462,Aldea del Cano,C2RCC,2022,o,3.8966643810272217
463,Aldea del Cano,C2X,2022,o,57.123470306396484
464,Aldea del Cano,C2XC,2022,o,283.91156005859375
465,Aldea del Cano,C2RCC,2022,v,30.377567291259766
466,Aldea del Cano,C2X,2022,v,108.2113037109375
467,Aldea del Cano,C2XC,2022,v,318.43487548828125
468,Aliseda,C2RCC,2021,o,1.082025408744812
469,Aliseda,C2X,2021,o,7.29356050491333
470,Aliseda,C2XC,2021,o,19.003501892089844
471,Aliseda,C2RCC,2022,o,1.5751005411148071
472,Aliseda,C2X,2022,o,16.542194366455078
473,Aliseda,C2XC,2022,o,48.64203643798828
474,Alpotrel,C2RCC,2020,o,6.349995136260986
475,Alpotrel,C2X,2020,o,20.773195266723633
476,Alpotrel,C2XC,2020,o,113.17938995361328
477,Alpotrel,C2RCC,2021,o,1.026254653930664
478,Alpotrel,C2X,2021,o,3.755922794342041
479,Alpotrel,C2XC,2021,o,36.79634475708008
480,Alpotrel,C2RCC,2022,o,5.365955352783203
481,Alpotrel,C2X,2022,o,12.679046630859375
482,Alpotrel,C2XC,2022,o,64.1007080078125
483,Arrocerezal,C2RCC,2021,o,
484,Arrocerezal,C2X,2021,o,
485,Arrocerezal,C2XC,2021,o,
486,Arrocerezal,C2RCC,2022,o,1.4650702476501465
487,Arrocerezal,C2X,2022,o,4.020473957061768
488,Arrocerezal,C2XC,2022,o,23.762046813964844
489,Brozas,C2RCC,2020,o,14.394902229309082
490,Brozas,C2X,2020,o,8.451397895812988
491,Brozas,C2XC,2020,o,47.4249267578125
492,Brozas,C2RCC,2021,o,47.99076461791992
493,Brozas,C2X,2021,o,218.66009521484375
494,Brozas,C2XC,2021,o,375.32440185546875
495,Brozas,C2RCC,2021,v,23.89944076538086
496,Brozas,C2X,2021,v,69.26309204101562
497,Brozas,C2XC,2021,v,130.84268188476562
498,Brozas,C2RCC,2022,v,22.717166900634766
499,Brozas,C2X,2022,v,48.15558624267578
500,Brozas,C2XC,2022,v,120.25440979003906
501,Burguillos del Cerro,C2RCC,2020,o,7.301900863647461
502,Burguillos del Cerro,C2X,2020,o,24.52591323852539
503,Burguillos del Cerro,C2XC,2020,o,58.69896697998047
504,Burguillos del Cerro,C2RCC,2021,v,27.731903076171875
505,Burguillos del Cerro,C2X,2021,v,84.81134033203125
506,Burguillos del Cerro,C2XC,2021,v,242.01678466796875
507,Burguillos del Cerro,C2RCC,2022,o,1.5513571500778198
508,Burguillos del Cerro,C2X,2022,o,834.29833984375
509,Burguillos del Cerro,C2XC,2022,o,2306.1748046875
510,Burguillos del Cerro,C2RCC,2022,v,16.519454956054688
511,Burguillos del Cerro,C2X,2022,v,49.9608154296875
512,Burguillos del Cerro,C2XC,2022,v,140.23446655273438
513,Cantalgallo,C2RCC,2020,o,2.1449053287506104
514,Cantalgallo,C2X,2020,o,2.99458384513855
515,Cantalgallo,C2XC,2020,o,12.098077774047852
516,El Santo,C2RCC,2020,o,2.8579249382019043
517,El Santo,C2X,2020,o,1.987450122833252
518,El Santo,C2XC,2020,o,3.8956973552703857
519,El Santo,C2RCC,2021,o,2.7440285682678223
520,El Santo,C2X,2021,o,4.990400791168213
521,El Santo,C2XC,2021,o,11.64072036743164
522,El Santo,C2RCC,2022,o,11.861696243286133
523,El Santo,C2X,2022,o,8.592161178588867
524,El Santo,C2XC,2022,o,83.43211364746094
525,Garciaz,C2RCC,2021,o,0.26926189661026
526,Garciaz,C2X,2021,o,0.3560675382614136
527,Garciaz,C2XC,2021,o,1.2919267416000366
528,Garganta del Obispo,C2RCC,2022,o,0.012563723139464855
529,Garganta del Obispo,C2X,2022,o,0.9871946573257446
530,Garganta del Obispo,C2XC,2022,o,2.9782118797302246
531,Hervas,C2RCC,2021,o,1.2310588359832764
532,Hervas,C2X,2021,o,14.943724632263184
533,Hervas,C2XC,2021,o,45.032447814941406
534,Jaime Ozores,C2RCC,2017,o,11.46277904510498
535,Jaime Ozores,C2X,2017,o,137.0198516845703
536,Jaime Ozores,C2XC,2017,o,676.389892578125
537,Jaime Ozores,C2RCC,2017,v,10.134623527526855
538,Jaime Ozores,C2X,2017,v,46.1268196105957
539,Jaime Ozores,C2XC,2017,v,88.23625183105469
540,Jaime Ozores,C2RCC,2018,o,0.5486845970153809
541,Jaime Ozores,C2X,2018,o,73.32759094238281
542,Jaime Ozores,C2XC,2018,o,395.0482482910156
543,Jaime Ozores,C2RCC,2018,v,8.088788986206055
544,Jaime Ozores,C2X,2018,v,47.03395080566406
545,Jaime Ozores,C2XC,2018,v,67.61289978027344
546,Jaime Ozores,C2RCC,2019,o,0.0
547,Jaime Ozores,C2X,2019,o,0.0
548,Jaime Ozores,C2XC,2019,o,0.0
549,Jaime Ozores,C2RCC,2019,v,3.819243907928467
550,Jaime Ozores,C2X,2019,v,17.51523208618164
551,Jaime Ozores,C2XC,2019,v,17.51523208618164
552,Jaime Ozores,C2RCC,2020,o,5.179347038269043
553,Jaime Ozores,C2X,2020,o,12.714144706726074
554,Jaime Ozores,C2XC,2020,o,53.76740264892578
555,Jaime Ozores,C2RCC,2021,v,1.4180121421813965
556,Jaime Ozores,C2X,2021,v,117.10720825195312
557,Jaime Ozores,C2XC,2021,v,349.5035400390625
558,Jaime Ozores,C2RCC,2022,o,106.11274719238281
559,Jaime Ozores,C2X,2022,o,364.54974365234375
560,Jaime Ozores,C2XC,2022,o,562.4677124023438
561,Jaime Ozores,C2RCC,2022,v,27.814577102661133
562,Jaime Ozores,C2X,2022,v,194.0869140625
563,Jaime Ozores,C2XC,2022,v,423.0153503417969
564,Llerena,C2RCC,2020,o,10.670743942260742
565,Llerena,C2X,2020,o,14.917381286621094
566,Llerena,C2XC,2020,o,43.130149841308594
567,Llerena,C2RCC,2021,o,13.786361694335938
568,Llerena,C2X,2021,o,6.74151611328125
569,Llerena,C2XC,2021,o,38.274715423583984
570,Llerena,C2RCC,2022,o,42.01285171508789
571,Llerena,C2X,2022,o,352.9129943847656
572,Llerena,C2XC,2022,o,984.410400390625
